SMILES,LOGS
N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,0.49
O=C1CCCCC1,-0.7
CC1=CC=CC=C1O,-0.59
OC(=O)C1=CN=C(O)C=C1,-1.01
CC[C@H](N)C(O)=O,0.54
OCC(O)C1=CC(O)=C(O)C=C1,-1.01
OC(=O)\C=C/C(O)=O,-0.68
COC1=CC2=C(NC=C2CCN(C)C)C=C1,-2.48
CCCCCCCCCCCCCCCC(O)=O,-5.8
CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O,-5.75
NCC(O)C1=CC=CC=C1,-0.81
OC[C@H]1OC(=O)[C@H](O)[C@@H]1O,0.76
[H][C@@](O)(CO)[C@@]1([H])OC(=O)C(=O)C1=O,0.04
COC1=C(O)C=CC=C1,-0.27
N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,-1.37
CC1=CC=CC=C1C(=O)NCC(O)=O,-2.51
OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O,0.79
OCCCCCCCCCCCC(O)=O,-3
CC(=O)OCC[N+](C)(C)C,-3.13
NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,-3.76
CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,-0.56
CCCCCCCCCCCCCCCCCCC(O)=O,-6.64
[H][C@@]12CCC([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C(=O)C=C2CC(O)CC[C@]12C,-6.29
CC(C)CCC(O)=O,-0.96
CNC(C)(C)C(O)=O,0.06
NCCC1=CC=C(O)C=C1,-1.38
OCC(O)=O,0.9
CC(O)C(O)C1=NC2=C(NC1)N=C(N)NC2=O,-2.17
NC1=NC2=C(N=C(C=N2)C(O)C(O)CO)C(=O)N1,-1.61
CCCCCCCC(O)=O,-2.2
N[C@@H](CC1=CC=C(O)C(=C1)[N+]([O-])=O)C(O)=O,-2.18
CC(O)(CC(O)=O)CC(O)=O,0.23
CC1=CC=C(O)C(O)=C1,-0.52
C[C@@H](O)CC(O)=O,0.71
[H][C@@]1(O)COC([H])(O)[C@]1([H])O,1.08
OC(=O)\C=C/C1=CC=CC=C1,-2.38
CN1CC(=O)NC1=N,-1.06
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,-4.03
NC(=N)N[C@@H](CC(O)=O)C(O)=O,-1.79
OC(=O)CC1=CN=CN1,-0.37
CC(=C)C1CCC(=CC1)C(O)=O,-2.01
CCCCCCCCCCCCCCCCCCCCCCCCCC(O)=O,-7.34
OC(=O)CNC(=O)C=C,-0.31
OC1=NC=NC2=C1NC=N2,-1.02
OC(=O)CC1=CC=C(O)C=C1,-1.33
N[C@@H](CC(O)=O)C(O)=O,0.03
OC(=O)C1=CC=CC=C1O,-1.09
OC1=CC=C(O)C=C1,-0.06
CN1C2=C(NC(=O)N2)C(=O)N(C)C1=O,-1.35
